player,K,HS,MK,1v2,D,UD,EF,DAM,R,KPR,1v2PR,MKPR,DPR,UDR,EFR,KD,HS%,ADR,Placement,Awards,PadRating1.2
Berman,102,67,29,7,47,618,28,10813,105,0.97,0.07,0.28,0.45,5.89,0.27,2.17,65.69,102.98,5th,none,1.51
WillP,53,27,9,2,61,41,13,5818,105,0.5,0.02,0.09,0.58,0.39,0.12,0.87,50.94,55.41,5th,none,0.91
Droid,97,55,32,10,51,674,15,11154,109,0.89,0.09,0.29,0.47,6.18,0.14,1.9,56.7,102.33,9th,none,1.46
MaggotEatr,42,15,4,1,62,229,23,4816,109,0.39,0.01,0.04,0.57,2.1,0.21,0.68,35.71,44.18,9th,none,0.81
theod,96,49,24,10,67,293,35,11002,126,0.76,0.08,0.19,0.53,2.33,0.28,1.43,51.04,87.32,9th,none,1.26
dwarriorIV,70,31,12,4,76,618,18,7491,126,0.56,0.03,0.10,0.6,4.9,0.14,0.92,44.29,59.45,9th,none,0.94
HyperDonk,92,50,17,14,66,252,34,10439,123,0.75,0.11,0.14,0.54,2.05,0.28,1.39,54.35,84.87,9th,none,1.23
Kyle,65,26,10,2,72,304,25,7274,112,0.58,0.02,0.09,0.64,2.71,0.22,0.9,40,64.95,9th,none,0.93
Mythic,85,37,23,6,51,302,13,10270,103,0.83,0.06,0.22,0.5,2.93,0.13,1.67,43.53,99.71,9th,none,1.37
DirtShiesty,55,29,9,3,56,144,15,5653,103,0.53,0.03,0.09,0.54,1.4,0.15,0.98,52.73,54.88,9th,none,0.96
Drew,77,53,24,8,65,568,21,8757,115,0.67,0.07,0.21,0.57,4.94,0.18,1.18,68.83,76.15,9th,none,1.13
ULTRA BEAST,65,32,19,6,70,228,27,7414,115,0.57,0.05,0.17,0.61,1.98,0.23,0.93,49.23,64.47,9th,none,0.98
dverad74,45,16,13,2,58,258,17,6196,85,0.53,0.02,0.15,0.68,3.04,0.2,0.78,35.56,72.89,9th,none,0.92
Dank,37,17,8,3,59,253,6,4025,85,0.44,0.04,0.09,0.69,2.98,0.07,0.63,45.95,47.35,9th,none,0.74
Danzo,67,35,14,3,77,367,13,8413,119,0.56,0.03,0.12,0.65,3.08,0.11,0.87,52.24,70.7,9th,none,0.94
Hendo,55,21,10,2,78,177,15,6687,119,0.46,0.02,0.08,0.66,1.49,0.13,0.71,38.18,56.19,9th,none,0.82
Sweaty,59,36,18,2,71,332,14,7926,98,0.6,0.02,0.18,0.72,3.39,0.14,0.83,61.02,80.88,9th,none,0.95
Andy,29,14,6,2,58,113,9,3573,82,0.35,0.02,0.07,0.71,1.38,0.11,0.5,48.28,43.57,9th,none,0.66
Nos,69,46,13,4,73,168,28,7920,112,0.62,0.04,0.12,0.65,1.5,0.25,0.95,66.67,70.71,10th,none,0.98
Jsad,46,22,7,1,72,160,15,5180,101,0.46,0.01,0.07,0.71,1.58,0.15,0.64,47.83,51.29,10th,none,0.74
Dmah,3,2,1,1,12,43,0,432,16,0.19,0.06,0.06,0.75,2.69,0,0.25,66.67,27,nth,none,0.48
