player,K,HS,MK,1v2,D,UD,EF,DAM,R,KPR,1v2PR,MKPR,DPR,UDR,EFR,KD,HS%,ADR,Placement,Awards,PadRating1.2
theod,34,14,11,3,25,343,12,3379,44,0.77,0.07,0.25,0.57,7.8,0.27,1.36,41.18,76.8,3rd-4th,none,1.18
dwarriorIV,25,9,7,2,27,320,5,3473,44,0.57,0.05,0.16,0.61,7.27,0.11,0.93,36,78.93,3rd-4th,none,1.04
Drew,37,26,9,3,29,178,11,3558,44,0.84,0.07,0.20,0.66,4.05,0.25,1.28,70.27,80.86,5th-6th,EVP,1.13
ULTRA BEAST,15,7,1,0,30,179,9,2517,44,0.34,0.00,0.02,0.68,4.07,0.2,0.5,46.67,57.2,5th-6th,none,0.74
HyperDonk,30,11,8,3,13,33,10,3082,32,0.94,0.09,0.25,0.41,1.03,0.31,2.31,36.67,96.31,3rd-4th,none,1.51
Kyle,17,9,3,0,18,89,15,2016,32,0.53,0.00,0.09,0.56,2.78,0.47,0.94,52.94,63,3rd-4th,none,0.99
Mythic,21,10,6,1,22,41,4,2620,32,0.66,0.03,0.19,0.69,1.28,0.13,0.95,47.62,81.88,5th-6th,EVP,1.01
DirtShiesty,10,6,2,0,25,0,5,1384,32,0.31,0.00,0.06,0.78,0,0.16,0.4,60,43.25,5th-6th,none,0.57
Match 1:,,,,,,,,,,,,,,,,,,,,,
Mooks,K-D,+/-,ADR,PadRating1.2,KPR,1v2s,MultiKills,DPR,UD,EFR,KD,HS%,,,,,,,,,
theod,34-25,+9,76.8,1.18,0.77,3,11,0.57,343,0.27,1.36,41.18,,,,,,,,,
dwarriorIV,25-27,-2,78.93,1.04,0.57,2,7,0.61,320,0.11,0.93,36,,,,,,,,,
LG,,,,,,,,,,,,,,,,,,,,,
Drew,37-29,+8,80.86,1.13,0.84,3,9,0.66,178,0.25,1.28,70.27,,,,,,,,,
ULTRA BEAST,15-30,-15,57.2,0.74,0.34,0,1,0.68,179,0.2,0.5,46.67,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Match 2:,,,,,,,,,,,,,,,,,,,,,
JewSpace,K-D,+/-,ADR,PadRating1.2,KPR,1v2s,MultiKills,DPR,UD,EFR,KD,HS%,,,,,,,,,
HyperDonk,30-13,17,96.31,1.51,0.94,3,8,0.41,33,0.31,2.31,36.67,,,,,,,,,
Kyle,17-18,-1,63,0.99,0.53,0,3,0.56,89,0.47,0.94,52.94,,,,,,,,,
LG,,,,,,,,,,,,,,,,,,,,,
Mythic,21-22,-1,81.88,1.01,0.66,1,6,0.69,41,0.13,0.95,47.62,,,,,,,,,
DirtShiesty,10-25,-15,43.25,0.57,0.31,0,2,0.78,0,0.16,0.4,60,,,,,,,,,
