player,K,HS,MK,1v2,D,UD,EF,DAM,R,KPR,1v2PR,MKPR,DPR,UDR,EFR,KD,HS%,ADR,Placement,Awards,PadRating1.2
Berman,112,73,32,8,55,668,31,12100,118,0.95,0.07,0.27,0.47,5.66,0.26,2.04,65.18,102.54,3rd-4th,none,1.48
WillP,57,29,10,2,72,41,14,6117,118,0.48,0.02,0.08,0.61,0.35,0.12,0.79,50.88,51.84,3rd-4th,none,0.85
Droid,108,62,35,10,60,794,15,12350,122,0.89,0.08,0.29,0.49,6.51,0.12,1.8,57.41,101.23,3rd-4th,none,1.43
MaggotEatr,50,18,6,3,67,233,24,5570,122,0.41,0.02,0.05,0.55,1.91,0.2,0.75,36,45.66,3rd-4th,none,0.85
theod,111,55,29,11,81,446,37,13070,148,0.75,0.07,0.20,0.55,3.01,0.25,1.37,49.55,88.31,3rd-4th,none,1.24
dwarriorIV,82,34,16,8,88,748,21,8723,148,0.55,0.05,0.11,0.59,5.05,0.14,0.93,41.46,58.94,3rd-4th,none,0.95
HyperDonk,106,57,21,17,71,300,38,11765,136,0.78,0.13,0.15,0.52,2.21,0.28,1.49,53.77,86.51,5th-6th,none,1.27
Kyle,70,28,10,2,80,347,38,7963,125,0.56,0.02,0.08,0.64,2.78,0.3,0.88,40,63.7,5th-6th,none,0.92
Mythic,93,42,23,6,60,382,14,11401,116,0.8,0.05,0.20,0.52,3.29,0.12,1.55,45.16,98.28,5th-6th,none,1.32
DirtShiesty,60,33,9,3,66,145,18,6173,116,0.52,0.03,0.08,0.57,1.25,0.16,0.91,55,53.22,5th-6th,none,0.92
Drew,92,60,27,9,79,717,30,10649,137,0.67,0.07,0.20,0.58,5.23,0.22,1.16,65.22,77.73,5th-6th,none,1.12
ULTRA BEAST,76,35,22,7,83,275,37,8448,137,0.55,0.05,0.16,0.61,2.01,0.27,0.92,46.05,61.66,5th-6th,none,0.96
dverad74,45,16,13,2,58,258,17,6196,85,0.53,0.02,0.15,0.68,3.04,0.2,0.78,35.56,72.89,7th-10th,none,0.92
Dank,37,17,8,3,59,253,6,4025,85,0.44,0.04,0.09,0.69,2.98,0.07,0.63,45.95,47.35,7th-10th,none,0.74
Danzo,67,35,14,3,77,367,13,8413,119,0.56,0.03,0.12,0.65,3.08,0.11,0.87,52.24,70.7,7th-10th,none,0.94
Hendo,55,21,10,2,78,177,15,6687,119,0.46,0.02,0.08,0.66,1.49,0.13,0.71,38.18,56.19,7th-10th,none,0.82
Sweaty,59,36,18,2,71,332,14,7926,98,0.6,0.02,0.18,0.72,3.39,0.14,0.83,61.02,80.88,7th-10th,none,0.95
Andy,29,14,6,2,58,113,9,3573,82,0.35,0.02,0.07,0.71,1.38,0.11,0.5,48.28,43.57,7th-10th,none,0.66
Nos,69,46,13,4,73,168,28,7920,112,0.62,0.04,0.12,0.65,1.5,0.25,0.95,66.67,70.71,7th-10th,none,0.98
Jsad,46,22,7,1,72,160,15,5180,101,0.46,0.01,0.07,0.71,1.58,0.15,0.64,47.83,51.29,7th-10th,none,0.74
Dmah,3,2,1,1,12,43,0,432,16,0.19,0.06,0.06,0.75,2.69,0,0.25,66.67,27,nth,none,0.48
