player,K,HS,MK,1v2,D,UD,EF,DAM,R,KPR,1v2PR,MKPR,DPR,UDR,EFR,KD,HS%,ADR,Placement,Awards,PadRating
Joey,90,50,9,2,41,367,20,9620,92,0.98,0.02,0.1,0.45,3.99,0.22,2.2,55.56,104.57,1st,MVP,1.57
Dmah,36,13,2,1,56,195,21,4074,92,0.39,0.01,0.02,0.61,2.12,0.23,0.64,36.11,44.28,1st,none,0.81
Swny,39,25,5,2,28,169,6,4363,51,0.76,0.04,0.1,0.55,3.31,0.12,1.39,64.1,85.55,2nd,EVP,1.27
Ethan,26,12,1,1,33,73,7,3035,51,0.51,0.02,0.02,0.65,1.43,0.14,0.79,46.15,59.51,2nd,none,0.90
Steve,28,17,0,0,20,91,2,2955,35,0.8,0,0,0.57,2.6,0.06,1.4,60.71,84.43,3rd-4th,none,1.23
Caffey,38,4,1,0,33,92,13,4549,62,0.61,0,0.02,0.53,1.48,0.21,1.15,10.53,73.37,3rd-4th,EVP,1.13
SamP,18,11,4,3,16,15,13,2100,27,0.67,0.11,0.15,0.59,0.56,0.48,1.13,61.11,77.78,3rd-4th,none,1.19
Dom,67,29,9,4,56,199,15,7644,95,0.71,0.04,0.09,0.59,2.09,0.16,1.2,43.28,80.46,3rd-4th,EVP,1.18
Dank,48,24,7,1,61,138,19,5454,95,0.51,0.01,0.07,0.64,1.45,0.2,0.79,50,57.41,3rd-4th,none,0.91
Danzo,35,17,9,2,40,142,13,4567,56,0.63,0.04,0.16,0.71,2.54,0.23,0.88,48.57,81.55,5th-6th,none,1.04
Hendo,27,17,4,1,39,33,20,3196,56,0.48,0.02,0.07,0.7,0.59,0.36,0.69,62.96,57.07,5th-6th,none,0.84
Pete,34,15,2,1,47,46,18,4346,60,0.57,0.02,0.03,0.78,0.77,0.3,0.72,44.12,72.43,5th-6th,none,0.87
Andy,25,15,3,2,47,58,11,3195,60,0.42,0.03,0.05,0.78,0.97,0.18,0.53,60,53.25,5th-6th,none,0.71
